All numbers: 853
Numbers with mistakes: 81
% of mistakes: 9.5

        file     number prediction  lev_dist
 7cd509598c1  H695TA732   ?894????       8.0
 0320241edb5   B276EE10   O?61XY46       8.0
 f5b1d754ab4   B205YC34   H833????       8.0
 c4cbf638a3c   A265XK34   ?3??????       8.0
 b87a765aa45   X503BP70   ????????       8.0
 8c51c08aaed   Y340BH34   A20?KO??       7.9
 49b3bb807e7   H761ME77   ?798??3?       7.0
 9c562d00eb7   A238EC34   O8??Y?84       7.0
 d7fc19006b3   E687TP10   ?881????       7.0
 970b3aa9547   A949XK34   P?94708?       6.9
 8fccd615f02   A104EC34   ?09?E???       6.9
 e8396639937   H544TB60  ??5254480       6.8
 cc84ed7dfe9  H699TA732   ?699??9?       6.0
 126b2746daf   H115HY34   ?110????       6.0
 d45467c34d5   K940TB10   H20?O?10       5.9
 0c3f330e3e4   P771KO34   ?777O???       5.9
 5a74195b2b3   A104EC34   ?04?EH??       5.9
 d4595f8ab54   C560PA34   C6??P???       5.9
 2333f5b6f3b   B205YC34  H0??Y?334       5.8
 7d91c452710   C008XE34   H108AE?1       5.0
 2907c910702   B205YC34   Y??0HC34       4.9
 537f10cba19   C560PA34   C568A???       4.9
 9e6d4a4ff6a   B205YC34   B208??4?       4.9
 f47f168af27   B205YC34   Y08?YE34       4.9
 030b59c511d   P255KO34   P?25OA?4       4.8
 99aa4e9d0ef   H830HP34   H83?P?4?       3.9
 99791145673   H544TB60   H544B???       3.9
 60811795a9c   A238EC34   ??28?C34       3.9
 7da78a1b3ad   B276EE10   BH76810?       3.9
 429fa389423   H918XH34   O218H?34       3.9
 06bbd5a75ff   B581BB34   B581??4?       3.9
 6cae891ec37   B424MA34   B974MA3?       3.0
 fa00345f989   P805KO34   Y885KB34       3.0
 bc78fa7996a   A236EO34   H36?EO34       2.9
 3e7d41b88e7   P079MB34   ?79?MB34       2.9
 4bc77ae0846   A238EC34   H38?EC34       2.9
 95b3b6f2aed   A104EC34   A?04EC?3       2.9
 2e8797f7e5e   A238EC34   A238EC1?       2.0
 92ed5498220   H544TB60   H544TB??       2.0
 41db04434f5    P255KO3   P255KO22       2.0
 769aa272d75   H406XH34   H406XH0?       2.0
 36d852962ca   A265XK34  A?65XK341       2.0
 e0356c2ea07   A894CA34   A894CA??       2.0
 d980bc36309   P771KO34   ?771KO38       2.0
 ef18e639399   C560PA34  ?560PA344       2.0
 e7ac2d1414e   A226XK39  A226XK388       2.0
 2a6660f749d   H291CP34   H291CP??       2.0
 d76cf23f456   A265XK34   C?65XK34       2.0
 c32b2f7c33b   E681TP10   E681T?80       2.0
 f43bfeb6f91   E687TP10   ?687TP?0       2.0
 86a69a1089b   H918XH34   H918H?34       1.9
 57a46e06b26   H275EA34   H75?EA34       1.9
 a170969d6c6   A343EC34   A393EC34       1.0
 04159502e57   P008MY34   P008MY3?       1.0
 75e9cda0a78   A226XK39   A226XK37       1.0
 18559278c7f   A343EC34   A343EC38       1.0
 a7af0de99f4   A654BX11   A654BX1?       1.0
 61ce229d8f9   A618YC34   A618YC3?       1.0
 58c1e5890ca  E649BK532  E649BK530       1.0
 98e95e87b4d   H761ME77   H761ME7?       1.0
 eeef6e019a9   P255KO34   P255KO30       1.0
 8f5ec084c94   H495HY34   ?495HY34       1.0
 9841040dfc5   P345MB34   ?345MB34       1.0
 7dfe80de537   H918XH34   H918XH30       1.0
 1eafe36c884   K998TB10   M998TB10       1.0
 21811d90089   P345MB34   ?345MB34       1.0
 6cb0b6e7986   P345MB34   ?345MB34       1.0
 15c5a58cb17   P345MB34   ?345MB34       1.0
 be41771fb3a   H974AM34   ?974AM34       1.0
 516ac038782   A637YC34   B637YC34       1.0
 81f3e1167f4   H495HY34   H495HY3?       1.0
 0b7b22a3772   K998TB10   M998TB10       1.0
 3bc9e249786   H444HP34   H444HP3?       1.0
 c293e306fa0  E649BK532   E649BK53       1.0
 cb163f62a56   H761ME77   H761ME7?       1.0
 5dca9b3a53e  M847AE532  M847AE534       1.0
 a9fa8affd68   P534HK34   P534H?34       1.0
 be6b843baa8   A226XK39   A226XK30       1.0
 1ad85c06858   A104EC34   A104EC3?       1.0
 403d804685d   A373PX34  A373PX34?       0.9
 14cde8e94cd   A238EC34  A238EC34?       0.9
